date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:05	1169/1169	---M--	200	added ('OK')	image/png	etag:%22491-562a9b2da609f%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/fra.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/fra.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:05	56062/56062	---M--	200	added ('OK')	image/jpeg	etag:%22dafe-562a9b637876f%22	http://html.iwthemes.com/sportscup/run/img/players/6.jpg	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/players/6.jpg	(from http://html.iwthemes.com/sportscup/run/)
08:45:07	6245/6245	---M--	200	added ('OK')	image/png	etag:%221865-562a9b299adfd%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/aus.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/aus.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:07	3282/3282	---M--	200	added ('OK')	image/png	etag:%22cd2-562a9b2ff0f53%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/per.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/per.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:08	2294/2294	---M--	200	added ('OK')	image/png	etag:%228f6-562a9b2cc1858%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/den.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/den.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:08	2018/2018	---M--	200	added ('OK')	image/png	etag:%227e2-562a9b298851c%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/arg.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/arg.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:09	2143/2143	---M--	200	added ('OK')	image/png	etag:%2285f-562a9b2e3f5c4%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/isl.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/isl.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:10	4133/4133	---M--	200	added ('OK')	image/png	etag:%221025-562a9b2c38cd3%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/cro.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/cro.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:10	1126/1126	---M--	200	added ('OK')	image/png	etag:%22466-562a9b2f80a6f%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/nga.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/nga.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:11	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Nov%202019%2013:45:24%20GMT	http://html.iwthemes.com/sportscup/run/group-list-html	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/group-list-html	(from http://html.iwthemes.com/sportscup/run/)
08:45:19	3573/3573	---M--	200	added ('OK')	image/png	etag:%22df5-562a9b3141dfe%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/sui.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/sui.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:20	1413/1413	---M--	200	added ('OK')	image/png	etag:%22585-562a9b2c36d93%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/costa-rica.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/costa-rica.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:21	4044/4044	---M--	200	added ('OK')	image/png	etag:%22fcc-562a9b3116e7c%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/srb.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/srb.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:21	1191/1191	---M--	200	added ('OK')	image/png	etag:%224a7-562a9b2db0c80%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/ger.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/ger.png	(from http://html.iwthemes.com/sportscup/run/)
08:45:23	2002/2002	---M--	200	added ('OK')	image/png	etag:%227d2-562a9b3188300%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/swe.png	D:/Template%20Website/sportscup/html.iwthemes.com/sportscup/run/img/clubs-logos/swe.png	(from http://html.iwthemes.com/sportscup/run/)
